 Mortalidade - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Faixa Etária: 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos
Período:1993-1995
"Município";"1993";"1994";"1995";"Total"
"110001 Alta Floresta D'Oeste";41;56;47;144
"110040 Alto Paraíso";-;15;7;22
"110034 Alvorada D'Oeste";21;35;30;86
"110002 Ariquemes";261;222;233;716
"110003 Cabixi";9;7;8;24
"110060 Cacaulândia";-;2;6;8
"110004 Cacoal";131;107;113;351
"110070 Campo Novo de Rondônia";-;8;14;22
"110080 Candeias do Jamari";-;-;2;2
"110090 Castanheiras";-;4;3;7
"110005 Cerejeiras";31;31;18;80
"110006 Colorado do Oeste";43;41;34;118
"110007 Corumbiara";-;2;14;16
"110008 Costa Marques";21;23;24;68
"110009 Espigão D'Oeste";25;17;31;73
"110100 Governador Jorge Teixeira";-;8;14;22
"110010 Guajará-Mirim";44;44;71;159
"110110 Itapuã do Oeste";-;2;2;4
"110011 Jaru";122;115;167;404
"110012 Ji-Paraná";205;220;357;782
"110013 Machadinho D'Oeste";31;25;56;112
"110120 Ministro Andreazza";-;4;-;4
"110130 Mirante da Serra";1;3;4;8
"110140 Monte Negro";-;8;17;25
"110014 Nova Brasilândia D'Oeste";7;3;12;22
"110033 Nova Mamoré";6;14;14;34
"110050 Novo Horizonte do Oeste";-;3;10;13
"110015 Ouro Preto do Oeste";117;87;92;296
"110018 Pimenta Bueno";62;74;70;206
"110020 Porto Velho";618;618;417;1653
"110025 Presidente Médici";35;38;73;146
"110026 Rio Crespo";-;3;-;3
"110028 Rolim de Moura";64;77;83;224
"110029 Santa Luzia D'Oeste";10;12;20;42
"110032 São Miguel do Guaporé";15;4;16;35
"110150 Seringueiras";-;3;25;28
"110160 Theobroma";-;4;6;10
"110170 Urupá";-;5;6;11
"110180 Vale do Paraíso";-;6;16;22
"110030 Vilhena";93;103;110;306
"110000 Município ignorado - RO";35;4;9;48
"120001 Acrelândia";1;2;4;7
"120005 Assis Brasil";4;2;2;8
"120010 Brasiléia";23;32;27;82
"120013 Bujari";1;2;2;5
"120017 Capixaba";1;-;2;3
"120020 Cruzeiro do Sul";100;104;108;312
"120025 Epitaciolândia";7;9;5;21
"120030 Feijó";14;22;17;53
"120033 Mâncio Lima";1;1;4;6
"120034 Manoel Urbano";1;-;-;1
"120035 Marechal Thaumaturgo";2;1;1;4
"120038 Plácido de Castro";9;9;22;40
"120080 Porto Acre";2;1;1;4
"120039 Porto Walter";-;1;-;1
"120040 Rio Branco";522;536;520;1578
"120042 Rodrigues Alves";3;-;1;4
"120043 Santa Rosa do Purus";-;-;1;1
"120050 Sena Madureira";32;38;19;89
"120045 Senador Guiomard";3;2;5;10
"120060 Tarauacá";14;24;18;56
"120070 Xapuri";8;18;12;38
"120000 Município ignorado - AC";-;-;1;1
"130002 Alvarães";-;1;1;2
"130006 Amaturá";-;-;1;1
"130010 Anori";-;1;5;6
"130014 Apuí";1;7;16;24
"130020 Atalaia do Norte";-;6;7;13
"130030 Autazes";1;-;6;7
"130040 Barcelos";3;-;3;6
"130050 Barreirinha";-;1;1;2
"130060 Benjamin Constant";1;5;4;10
"130063 Beruri";1;1;2;4
"130068 Boa Vista do Ramos";3;2;1;6
"130070 Boca do Acre";11;19;14;44
"130080 Borba";2;-;2;4
"130083 Caapiranga";-;1;-;1
"130090 Canutama";4;2;4;10
"130100 Carauari";12;22;38;72
"130110 Careiro";3;6;9;18
"130115 Careiro da Várzea";1;3;2;6
"130120 Coari";25;21;18;64
"130130 Codajás";9;10;14;33
"130140 Eirunepé";4;-;1;5
"130150 Envira";2;10;12;24
"130160 Fonte Boa";1;-;-;1
"130165 Guajará";-;3;8;11
"130170 Humaitá";24;21;19;64
"130180 Ipixuna";5;4;1;10
"130185 Iranduba";6;5;10;21
"130190 Itacoatiara";87;78;85;250
"130195 Itamarati";1;3;5;9
"130200 Itapiranga";5;6;6;17
"130210 Japurá";1;-;1;2
"130230 Jutaí";1;-;2;3
"130240 Lábrea";39;33;35;107
"130250 Manacapuru";37;44;55;136
"130255 Manaquiri";1;6;1;8
"130260 Manaus";1904;2184;2284;6372
"130270 Manicoré";1;9;14;24
"130280 Maraã";-;4;2;6
"130290 Maués";38;28;25;91
"130300 Nhamundá";16;13;7;36
"130310 Nova Olinda do Norte";-;1;1;2
"130320 Novo Airão";-;1;-;1
"130330 Novo Aripuanã";3;6;8;17
"130340 Parintins";44;73;58;175
"130350 Pauini";1;-;1;2
"130353 Presidente Figueiredo";1;8;6;15
"130356 Rio Preto da Eva";-;2;3;5
"130360 Santa Isabel do Rio Negro";-;2;3;5
"130370 Santo Antônio do Içá";-;1;1;2
"130380 São Gabriel da Cachoeira";19;15;26;60
"130390 São Paulo de Olivença";12;4;11;27
"130395 São Sebastião do Uatumã";-;1;3;4
"130400 Silves";-;-;1;1
"130406 Tabatinga";36;31;23;90
"130410 Tapauá";1;3;6;10
"130420 Tefé";37;36;24;97
"130423 Tonantins";-;2;-;2
"130426 Uarini";2;2;1;5
"130430 Urucará";1;3;2;6
"130440 Urucurituba";6;12;-;18
"130000 Município ignorado - AM";36;-;2;38
"140005 Alto Alegre";7;8;9;24
"140010 Boa Vista";269;319;324;912
"140015 Bonfim";5;5;12;22
"140020 Caracaraí";7;8;10;25
"140030 Mucajaí";15;8;17;40
"140040 Normandia";4;3;5;12
"140050 São João da Baliza";9;5;5;19
"140060 São Luiz";2;4;13;19
"140000 Município ignorado - RR";-;-;1;1
"150010 Abaetetuba";96;106;122;324
"150013 Abel Figueiredo";2;3;-;5
"150020 Acará";12;9;12;33
"150030 Afuá";12;6;6;24
"150034 Água Azul do Norte";1;7;3;11
"150040 Alenquer";41;32;42;115
"150050 Almeirim";7;6;8;21
"150060 Altamira";123;136;139;398
"150070 Anajás";3;5;-;8
"150080 Ananindeua";509;524;587;1620
"150090 Augusto Corrêa";2;15;12;29
"150095 Aurora do Pará";9;20;7;36
"150100 Aveiro";9;5;1;15
"150110 Bagre";6;4;5;15
"150120 Baião";12;9;8;29
"150130 Barcarena";30;21;27;78
"150140 Belém";1908;2052;1972;5932
"150150 Benevides";22;16;13;51
"150157 Bom Jesus do Tocantins";5;6;1;12
"150160 Bonito";3;5;2;10
"150170 Bragança";61;80;77;218
"150172 Brasil Novo";7;18;11;36
"150175 Brejo Grande do Araguaia";6;7;4;17
